epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,332.557,1.09743,0.8299,1.0194,0.78585,0.72599,0.7669,0.4557,1.45797,1.10969,1.20917,0.00014855,0.00014855,0.00014855
73,337.164,1.10877,0.82463,1.02358,0.81256,0.72633,0.76301,0.45125,1.44042,1.07168,1.20334,0.0001436,0.0001436,0.0001436
74,341.602,1.11639,0.82935,1.01813,0.78479,0.72785,0.75814,0.45567,1.4418,1.08503,1.20005,0.00013865,0.00013865,0.00013865
75,346.249,1.07688,0.82298,1.01329,0.79532,0.71534,0.76857,0.46399,1.43272,1.09209,1.20394,0.0001337,0.0001337,0.0001337
76,350.723,1.11196,0.82369,1.02571,0.79194,0.69593,0.76712,0.46997,1.44181,1.07333,1.20862,0.00012875,0.00012875,0.00012875
77,355.297,1.0986,0.82841,1.02399,0.79222,0.71594,0.76698,0.46686,1.44042,1.08337,1.20037,0.0001238,0.0001238,0.0001238
78,359.806,1.09185,0.78569,1.00729,0.74989,0.71913,0.75524,0.45924,1.44356,1.08733,1.2021,0.00011885,0.00011885,0.00011885
79,364.2,1.0774,0.79402,1.01636,0.77753,0.68343,0.75034,0.45626,1.44562,1.09107,1.20429,0.0001139,0.0001139,0.0001139
80,368.759,1.08702,0.80329,1.00318,0.81636,0.6766,0.76339,0.46342,1.45061,1.09158,1.20835,0.00010895,0.00010895,0.00010895
81,373.218,1.09909,0.81215,1.02033,0.82715,0.68313,0.76093,0.45394,1.4526,1.08017,1.21482,0.000104,0.000104,0.000104
82,377.788,1.07074,0.79646,1.00895,0.792,0.70501,0.76705,0.45599,1.44909,1.06516,1.21421,9.905e-05,9.905e-05,9.905e-05
83,382.266,1.10514,0.796,1.02061,0.79311,0.7148,0.76454,0.45975,1.4478,1.07785,1.20967,9.41e-05,9.41e-05,9.41e-05
84,386.994,1.09443,0.78736,1.00716,0.83861,0.69664,0.76579,0.46024,1.42834,1.07411,1.19776,8.915e-05,8.915e-05,8.915e-05
85,391.294,1.05589,0.76763,1.00318,0.78942,0.71081,0.75989,0.45343,1.44297,1.07878,1.20239,8.42e-05,8.42e-05,8.42e-05
86,396,1.05632,0.77262,0.99533,0.78843,0.71899,0.75962,0.45619,1.43842,1.07908,1.20449,7.925e-05,7.925e-05,7.925e-05
87,400.293,1.06787,0.77835,1.00784,0.80296,0.72589,0.76572,0.45897,1.44043,1.08173,1.20985,7.43e-05,7.43e-05,7.43e-05
88,404.716,1.08378,0.75803,1.00873,0.79656,0.73431,0.77068,0.46235,1.43523,1.07153,1.20682,6.935e-05,6.935e-05,6.935e-05
89,409.4,1.0575,0.77534,0.99778,0.78938,0.73324,0.76817,0.46265,1.43322,1.06652,1.20499,6.44e-05,6.44e-05,6.44e-05
